audio_path,transcription,speaker
dataset_fon\armandine\armandine_fongbe_corp005_001.wav,xo ɔ gbla to nu mi,armandine
dataset_fon\armandine\armandine_fongbe_corp005_002.wav,avɔ elɔ gɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp005_003.wav,e kwiji,armandine
dataset_fon\armandine\armandine_fongbe_corp005_004.wav,un do gbe nu we,armandine
dataset_fon\armandine\armandine_fongbe_corp005_005.wav,e ɖu lεsin nusunnu mεvo,armandine
dataset_fon\armandine\armandine_fongbe_corp005_006.wav,vi ce hɔn bo nɔ gbɔn gbegbe,armandine
dataset_fon\armandine\armandine_fongbe_corp005_007.wav,hwlεn mi gan,armandine
dataset_fon\armandine\armandine_fongbe_corp005_008.wav,e ma nyɔ xo ɖo gε,armandine
dataset_fon\armandine\armandine_fongbe_corp005_009.wav,e gbo hwε gblulu,armandine
dataset_fon\armandine\armandine_fongbe_corp005_010.wav,e gbijɔ gbadeti ɔ,armandine
dataset_fon\armandine\armandine_fongbe_corp005_011.wav,nyε wε nyi aklunɔ mawu mitɔn,armandine
dataset_fon\armandine\armandine_fongbe_corp005_012.wav,e ɖo anɔ gbagba ɖakɔn mε,armandine
dataset_fon\armandine\armandine_fongbe_corp005_013.wav,ɖyiɔvi anɔ gbagba wε fan sin nu tɔli gan ɖalaga sin fan ba un ɖe a alɔ e fan sin ɔ ba un ɖe,armandine
dataset_fon\armandine\armandine_fongbe_corp005_014.wav,e nɔ daziin bε nɔ wu fyo a,armandine
dataset_fon\armandine\armandine_fongbe_corp005_015.wav,mi na gbo xɔ ɔ ɖo we,armandine
dataset_fon\armandine\armandine_fongbe_corp005_016.wav,gan tεnwe mε,armandine
dataset_fon\armandine\armandine_fongbe_corp005_017.wav,azɔn gbε sin,armandine
dataset_fon\armandine\armandine_fongbe_corp005_018.wav,afɔkpa ɔ fyɔn mi,armandine
dataset_fon\armandine\armandine_fongbe_corp005_019.wav,e kanbyɔ ε ɖɔ fitε e nɔ yi azɔmε ɖe aji,armandine
